filename,,,,,vial,injec_vol,,conc,type
07182024_NEU_7032_IP_5MG_MICE_PK_1HR,,NEU7369,03132023_Full_Gradient,Default,"1:G,8",2,0,,
07182024_NEU_7032_IP_5MG_MICE_PK_2HR,,NEU7369,03132023_Full_Gradient,Default,"1:G,9",2,0,,
07182024_NEU_PK_BLK_PLASM7,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_PK_LLOQ_3,,NEU7369,03132023_Full_Gradient,Default,"1:F,9",2,0,1,QC
07182024_NEU_PK_LQC_3,,NEU7369,03132023_Full_Gradient,Default,"1:F,10",2,0,3,QC
07182024_NEU_PK_MQC_3,,NEU7369,03132023_Full_Gradient,Default,"1:F,11",2,0,90,QC
07182024_NEU_PK_HQC_3,,NEU7369,03132023_Full_Gradient,Default,"1:F,12",2,0,180,QC
07182024_NEU_PK_BLK_PLASM8,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_7369_IP_5MG_MICE_PK_30MIN,,NEU7369,03132023_Full_Gradient,Default,"1:G,10",2,0,,
07182024_NEU_7369_IP_5MG_MICE_PK_1HR,,NEU7369,03132023_Full_Gradient,Default,"1:G,11",2,0,,
07182024_NEU_7369_IP_5MG_MICE_PK_2HR,,NEU7369,03132023_Full_Gradient,Default,"1:G,12",2,0,,
07182024_NEU_PK_BLK_PLASM9,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_PK_LLOQ_2A,,NEU7369,03132023_Full_Gradient,Default,"1:F,5",2,0,1,QC
07182024_NEU_PK_LQC_2A,,NEU7369,03132023_Full_Gradient,Default,"1:F,6",2,0,3,QC
07182024_NEU_PK_MQC_2A,,NEU7369,03132023_Full_Gradient,Default,"1:F,7",2,0,90,QC
07182024_NEU_PK_HQC_2A,,NEU7369,03132023_Full_Gradient,Default,"1:F,8",2,0,180,QC
07182024_NEU_PK_BLK_PLASM10,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
DILUTED SAMPLES,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
07182024_NEU_BLK_ACN1A,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,
07182024_NEU_BLK_ACN2A,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,
07182024_NEU_7032_IP_5MG_MICE_PK_10X_30MIN,,NEU7369,03132023_Full_Gradient,Default,"1:H,1",2,0,,
07182024_NEU_7032_IP_5MG_MICE_PK_10x_1HR,,NEU7369,03132023_Full_Gradient,Default,"1:H,2",2,0,,
07182024_NEU_7032_IP_5MG_MICE_PK_10x_2HR,,NEU7369,03132023_Full_Gradient,Default,"1:H,3",2,0,,
07182024_NEU_PK_BLK_PLASM13,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_PK_LLOQ_1A,,NEU7369,03132023_Full_Gradient,Default,"1:F,1",2,0,1,QC
07182024_NEU_PK_LQC_1A,,NEU7369,03132023_Full_Gradient,Default,"1:F,2",2,0,3,QC
07182024_NEU_PK_MQC_1A,,NEU7369,03132023_Full_Gradient,Default,"1:F,3",2,0,90,QC
07182024_NEU_PK_HQC_1A,,NEU7369,03132023_Full_Gradient,Default,"1:F,4",2,0,180,QC
07182024_NEU_PK_BLK_PLASM14,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_7369_IP_5MG_MICE_PK_10x_30MIN,,NEU7369,03132023_Full_Gradient,Default,"1:H,4",2,0,,
07182024_NEU_7369_IP_5MG_MICE_PK_10x_1HR,,NEU7369,03132023_Full_Gradient,Default,"1:H,5",2,0,,
07182024_NEU_7369_IP_5MG_MICE_PK_10x_2HR,,NEU7369,03132023_Full_Gradient,Default,"1:H,6",2,0,,
07182024_NEU_PK_BLK_PLASM15,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_PK_LLOQ_2A,,NEU7369,03132023_Full_Gradient,Default,"1:F,9",2,0,1,QC
07182024_NEU_PK_LQC_2A,,NEU7369,03132023_Full_Gradient,Default,"1:F,10",2,0,3,QC
07182024_NEU_PK_MQC_2A,,NEU7369,03132023_Full_Gradient,Default,"1:F,11",2,0,90,QC
07182024_NEU_PK_HQC_2A,,NEU7369,03132023_Full_Gradient,Default,"1:F,12",2,0,180,QC
07182024_NEU_PK_BLK_PLASM16,,NEU7369,03132023_Full_Gradient,Default,"1:E,2",2,0,,
07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_1,,NEU7369,03132023_Full_Gradient,Default,"1:B,1",2,0,,
07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_2,,NEU7369,03132023_Full_Gradient,Default,"1:B,2",2,0,,
07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_3,,NEU7369,03132023_Full_Gradient,Default,"1:B,3",2,0,,
07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_1,,NEU7369,03132023_Full_Gradient,Default,"1:B,4",2,0,,
07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_2,,NEU7369,03132023_Full_Gradient,Default,"1:B,5",2,0,,
07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_3,,NEU7369,03132023_Full_Gradient,Default,"1:B,6",2,0,,
07182024_NEU_BLK_ACN8,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,
07182024_NEU_BLK_ACN9,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,
07182024_NEU_BLK_ACN10,,NEU7369,03132023_Full_Gradient,Default,"1:A,1",2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
,,NEU7369,03132023_Full_Gradient,Default,,2,0,,
